Category,Resource Name,URL
Instructor Tool Kit,"Accessibility - Publishers, Graphs and Spreadsheets","https://sfsc.sharepoint.com/:f:/r/Educational%20Technology/Accessibility%20-%20Publishers,%20Graphs%20and%20Spreadsheets?csf=1&web=1&e=wZ4mmG"
Instructor Tool Kit,Accessibility - QM Resources,https://sfsc.sharepoint.com/:f:/r/Educational%20Technology/Accessibility%20-%20QM%20Resources?csf=1&web=1&e=nMh8ag
Instructor Tool Kit,Ally,https://sfsc.sharepoint.com/:f:/r/Educational%20Technology/Ally?csf=1&web=1&e=p6wJ0J
Instructor Tool Kit,Honorlock,https://sfsc.sharepoint.com/:f:/r/Educational%20Technology/Honorlock?csf=1&web=1&e=kW0rKk
Instructor Tool Kit,Kahoot!,https://sfsc.sharepoint.com/:f:/r/Educational%20Technology/Kahoot!?csf=1&web=1&e=sWHiCY
Instructor Tool Kit,Zoom Meeting Information-Tutorials,https://sfsc.sharepoint.com/:f:/r/Educational%20Technology/Zoom%20Meeting%20Information-Tutorials?csf=1&web=1&e=kg0ia7
Instructor Tool Kit,Zoom Phone,https://sfsc.sharepoint.com/:f:/r/Educational%20Technology/Zoom%20Phone?csf=1&web=1&e=0tyLtG
Instructor Tool Kit,Brightspace Community,https://sfsc.sharepoint.com/:u:/r/Educational%20Technology/Brightspace%20Community%20.url?csf=1&web=1&e=gQaJRG
Instructor Tool Kit,Brightspace Resources for SFSC Instructors,https://sfsc.sharepoint.com/:u:/r/Educational%20Technology/Brightspace%20Resources%20for%20SFSC%20Instructors.edu.url?csf=1&web=1&e=ta1nl5
Instructor Tool Kit,Instructor Checklist for Brightspace,https://sfsc.sharepoint.com/:b:/r/Educational%20Technology/Instructor%20Checklist%20for%20Brightspace.pdf?csf=1&web=1&e=cEjuZQ
Instructor Tool Kit,QM Helpful Hints - Face to Face to an Online Course,https://sfsc.sharepoint.com/:b:/r/Educational%20Technology/QM%20Helpful%20Hints%20-%20Face%20to%20Face%20to%20an%20Online%20Course.pdf?csf=1&web=1&e=emeOtv
QM and Alignment Resources,Accessibility,https://sfsc.sharepoint.com/:f:/r/QM%20and%20Alignment%20Resources/Accessibility?csf=1&web=1&e=IpmUek
QM and Alignment Resources,CHLOE Reports,https://sfsc.sharepoint.com/:f:/r/QM%20and%20Alignment%20Resources/CHLOE%20Reports?csf=1&web=1&e=UEn9af
QM and Alignment Resources,Course Alignment,https://sfsc.sharepoint.com/:f:/r/QM%20and%20Alignment%20Resources/Course%20Alignment?csf=1&web=1&e=V8ZXXe
QM and Alignment Resources,QM -How To- Videos,https://sfsc.sharepoint.com/:f:/r/QM%20and%20Alignment%20Resources/QM%20-How%20To-%20Videos?csf=1&web=1&e=fzkZ19
QM and Alignment Resources,Upload Guides to Quality Matters,https://sfsc.sharepoint.com/:f:/r/QM%20and%20Alignment%20Resources/Upload%20Guides%20to%20Quality%20Matters?csf=1&web=1&e=2ecCpu
QM and Alignment Resources,QM Course Format Chart,https://sfsc.sharepoint.com/:u:/r/QM%20and%20Alignment%20Resources/QM%20Course%20Format%20Chart.url?csf=1&web=1&e=wwYsw7
QM and Alignment Resources,QM Worksheet Suggested Responses,https://sfsc.sharepoint.com/:b:/r/QM%20and%20Alignment%20Resources/QM%20Worksheet%20Suggested%20Responses.pdf?csf=1&web=1&e=udXXUg
QM and Alignment Resources,Quality Matters Log In,https://sfsc.sharepoint.com/:u:/r/QM%20and%20Alignment%20Resources/Quality%20Matters%20Log%20In.url?csf=1&web=1&e=uNEncd
QM and Alignment Resources,Quality Matters Resource Page,https://sfsc.sharepoint.com/:u:/r/QM%20and%20Alignment%20Resources/Quality%20Matters%20Resource%20Page.url?csf=1&web=1&e=BVJy62
QM and Alignment Resources,Underlying Principles of Quality Matters,https://sfsc.sharepoint.com/:u:/r/QM%20and%20Alignment%20Resources/Underlying%20Principles%20of%20Quality%20Matters.url?csf=1&web=1&e=We39Ov
Elearning Committee,DL - Hybrid Course Approval Forms,https://sfsc.sharepoint.com/:f:/r/eLearning/DL%20-%20Hybrid%20Course%20Approval%20Forms?csf=1&web=1&e=uQA80f
Elearning Committee,Distance Learning Handbook 2023,https://sfsc.sharepoint.com/:b:/r/eLearning/Distance%20Learning%20Handbook%202023.pdf?csf=1&web=1&e=cplB8Y
Center for Teaching Excellence,DLSS Newsletters 2023,https://sfsc.sharepoint.com/:f:/r/Center%20for%20Teaching%20Excellence/DLSS%20Newsletters%202023?csf=1&web=1&e=bN4yta
Center for Teaching Excellence,DLSS Newsletters 2024,https://sfsc.sharepoint.com/:f:/r/Center%20for%20Teaching%20Excellence/DLSS%20Newsletters%202024?csf=1&web=1&e=xMqNJr
Center for Teaching Excellence,DLSS Newsletters 2025,https://sfsc.sharepoint.com/:f:/r/Center%20for%20Teaching%20Excellence/DLSS%20Newsletters%202025?csf=1&web=1&e=lrUwd4
Center for Teaching Excellence,Ed Tech News Letters,https://sfsc.sharepoint.com/:f:/r/Center%20for%20Teaching%20Excellence/Ed%20Tech%20News%20Letters?csf=1&web=1&e=P1UUXz
Center for Teaching Excellence,High Impact Assessment Conferences,https://sfsc.sharepoint.com/:f:/r/Center%20for%20Teaching%20Excellence/High%20Impact%20Assessment%20Conferences?csf=1&web=1&e=gRrta2
Webinars,AI - Chat GPT Webinars,https://sfsc.sharepoint.com/:f:/r/Webinars/AI%20-%20Chat%20GPT%20Webinars?csf=1&web=1&e=KYH7X2
Webinars,Brightspace Webinars and Registration,https://sfsc.sharepoint.com/:f:/r/Webinars/Brightspace%20Webinars%20and%20Registration?csf=1&web=1&e=2hHe04
Webinars,WCET - Webinars. Recordings. Blog and Links,https://sfsc.sharepoint.com/:f:/r/Webinars/WCET%20-%20Webinars.%20Recordings.%20Blog%20and%20Links?csf=1&web=1&e=vqspFU
Webinars,What Campus Leaders Need to Know About Copyright and Intellectual Property Webinar Recording,https://sfsc.sharepoint.com/:f:/r/Webinars/What%20Campus%20Leaders%20Need%20to%20Know%20About%20Copyright%20and%20Intellectual%20Property%20Webinar%20Recording?csf=1&web=1&e=BZczeR
Webinars,2024-2025 IDN PD Webinar Schedule,https://sfsc.sharepoint.com/:u:/r/Webinars/2024-2025%20IDN%20PD%20Webinar%20Schedule.url?csf=1&web=1&e=S9Hyl1
Webinars,ChatGPT and Generative AI in Eduation Resources 5,https://sfsc.sharepoint.com/:b:/r/Webinars/ChatGPT%20and%20Generative%20AI%20in%20Eduation%20Resources%205.pdf?csf=1&web=1&e=QtiNDQ
Webinars,Harnessing Creativity With Student Created Content in Zoom,https://sfsc.sharepoint.com/:u:/r/Webinars/Harnessing%20Creativity%20With%20Student%20Created%20Content%20in%20Zoom.url?csf=1&web=1&e=blYx0A
Webinars,QM - Activities and Assessments From Confusion to Clarity,https://sfsc.sharepoint.com/:u:/r/Webinars/QM%20-%20Activities%20and%20Assessments%20From%20Confusion%20to%20Clarity.url?csf=1&web=1&e=PUaXd5,
