,Event,Term,Date,Holiday
0,Priority Date for SFSC Foundation Scholarships,Fall 2025,"Jul 15, 2025"
1,Faculty Return,Fall 2025,"Aug 8, 2025"
2,Last Day to Apply for Graduation,Fall 2025,"Oct 24, 2025"
3,Last Day to Purchase Cap and Gown,Fall 2025,"Oct 31, 2025"
4,Commencement / Graduation,Fall 2025,"Dec 11, 2025"
5,Full Term,Fall 2025,"Aug 13, 2025 - Dec 3, 2025 (16 weeks)"
6,Priority Registration for Students with over 40 hours including,Fall 2025,"Mar 31, 2025"
8,Begin Registration for Students with over 20 hours,Fall 2025,"Apr 3, 2025"
9,Begin Open Registration,Fall 2025,"Apr 7, 2025"
10,Fee Payment Deadline,Fall 2025,"Aug 7, 2025 *"
11,CLASSES BEGIN,Fall 2025,"Aug 13, 2025"
12,Registration Ends (Last Day to Add a Class),Fall 2025,"Aug 15, 2025 **"
13,Deadline to Drop Classes w/Refund or Change Audit Status.,Fall 2025,"Aug 20, 2025"
15,MANDATORY ATTENDANCE,Fall 2025,"Aug 13, 2025 - Aug20, 2025"
16,Deadline to Withdraw with a Grade of W. Last date for Instructors,Fall 2025,"Oct 17, 2025"
18,Last Day of Classes,Fall 2025,"Dec 3, 2025"
19,Exam Week,Fall 2025,"Dec 4, 2025 - Dec 10, 2025"
20,Faculty - Grades Due to Registrar's Office by NOON,Fall 2025,"Dec 11, 2025"
21,First Flex Term,Fall 2025,"Aug 13, 2025 - Oct 6, 2025 (8 weeks)"
22,Priority Registration for Students with over 40 hours including,Fall 2025,"Mar 31, 2025"
24,Begin Registration for Students with over 20 hours,Fall 2025,"Apr 3, 2025"
25,Begin Open Registration,Fall 2025,"Apr 7, 2025"
26,Fee Payment Deadline,Fall 2025,"Aug 7, 2025 *"
27,CLASSES BEGIN,Fall 2025,"Aug 13, 2025"
28,Registration Ends (Last Day to Add a Class),Fall 2025,"Aug 15, 2025 **"
29,Deadline to Drop Classes w/Refund or Change Audit Status.,Fall 2025,"Aug 20, 2025"
31,MANDATORY ATTENDANCE,Fall 2025,"Aug 13, 2025 - Aug 20, 2025"
32,Deadline to Withdraw with a Grade of W. Last date for Instructors,Fall 2025,"Sep 16, 2025"
34,Last Day of Classes,Fall 2025,"Oct 6, 2025"
35,Faculty - Grades Due to Registrar's Office by NOON,Fall 2025,"Oct 7, 2025"
36,Second Flex Term,Fall 2025,"Sep 9, 2025 - Dec 3, 2025 (13 weeks)"
37,Priority Registration for Students with over 40 hours including,Fall 2025,"Aug 7, 2025"
39,Begin Registration for Students with over 20 hours,Fall 2025,"Aug 13, 2025"
41,Fee Payment Deadline,Fall 2025,"Aug 28, 2025 *"
42,CLASSES BEGIN,Fall 2025,"Sep 9, 2025"
43,Registration Ends (Last Day to Add a Class),Fall 2025,"Sep 11, 2025 **"
44,Deadline to Drop Classes w/Refund or Change Audit Status.,Fall 2025,"Sep 16, 2025"
46,MANDATORY ATTENDANCE,Fall 2025,"Sep 9, 2025 - Sep 16, 2025"
47,Deadline to Withdraw with a Grade of W. Last date for Instructors,Fall 2025,"Oct 27, 2025"
49,Last Day of Classes,Fall 2025,"Dec 3, 2025"
50,Faculty - Grades Due to Registrar's Office by NOON,Fall 2025,"Dec 11, 2025"
51,Third Flex Term,Fall 2025,"Oct 7, 2025 - Dec 3, 2025 (8 weeks)"
52,Priority Registration for Students with over 40 hours including,Fall 2025,"Mar 31, 2025"
54,Begin Registration for Students with over 20 hours,Fall 2025,"Apr 3, 2025"
55,Begin Open Registration,Fall 2025,"Apr 7, 2025"
56,Fee Payment Deadline,Fall 2025,"Aug 7, 2025 *"
57,CLASSES BEGIN,Fall 2025,"Oct 7, 2025"
58,Registration Ends (Last Day to Add a Class),Fall 2025,"Oct , 2025 **"
59,Deadline to Drop Classes w/Refund or Change Audit Status.,Fall 2025,"Oct 14, 2025"
61,MANDATORY ATTENDANCE,Fall 2025,"Oct 9, 2025 - Oct 14, 2025"
62,Deadline to Withdraw with a Grade of W. Last date for Instructors,Fall 2025,"Nov 7, 2025"
64,Last Day of Classes,Fall 2025,"Dec 3, 2025"
