Name,URL,Parent
Associate in Arts – AA,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa,N/A
Associate in Arts Degree,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa/education-aa,Associate in Arts – AA
Arts and Sciences Departments,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa/arts-and-sciences-departments,Associate in Arts – AA
Degree Maps by Major,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa/degree-maps-major,Associate in Arts – AA
USF FUSE Transfer Program,https://www.southflorida.edu/current-students/degrees-programs/academics/associate-arts-aa/usf-fuse,Associate in Arts – AA
Accounting,https://www.southflorida.edu/current-students/degrees-programs/academics/accounting,N/A
Accounting Technology – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/accounting/accounting-technology-1580,Accounting
Accounting Applications – CCC,https://www.southflorida.edu/current-students/degrees-programs/academics/accounting/accounting-applications-3010,Accounting
Automotive,https://www.southflorida.edu/current-students/degrees-programs/academics/automotive-programs,N/A
Auto Service Technology – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/automotive-programs/service-technology-3220,Automotive
Auto Collision Technology Technician – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/automotive-programs/collision-technology-technician-3210,Automotive
Business,https://www.southflorida.edu/current-students/degrees-programs/academics/business,N/A
Bachelor of Applied Science in Supervision and Management (BAS-SM),https://www.southflorida.edu/current-students/degrees-programs/academics/business/supervision-management-bas,Business
Business Administration – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/business/business-administration-as,Business
Business Management – CCC,https://www.southflorida.edu/current-students/degrees-programs/academics/business/business-management-ccc,Business
Cosmetology,https://www.southflorida.edu/current-students/degrees-programs/academics/cosmetology-programs,N/A
Cosmetology – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/cosmetology-programs/cosmetology-3280,Cosmetology
Criminal Justice Academy,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety,N/A
Criminal Justice Technology – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/public-safety/criminal-justice-technology,Criminal Justice Academy
