Type,Text,URL
Link,Send Me Info,/future-students/send-info
Link,Apply Now,/future-students/apply
Link,More,#
Link,Panther Central,http://panthercentral.southflorida.edu
Link,Campus Maps,/college/campuses/maps-directions
Link,Transcripts,/current-students/registrar/transcripts
Link,,/
Link,The College,https://www.southflorida.edu/college
Link,Welcome,https://www.southflorida.edu/college/welcome
Link,About SFSC,https://www.southflorida.edu/college/welcome/about-sfsc
Link,Student Achievement Data,https://www.southflorida.edu/college/welcome/about-sfsc/student-achievement-data
Link,Campus Maps,https://www.southflorida.edu/college/campuses
Link,Maps & Directions,https://www.southflorida.edu/college/campuses/maps-directions
Link,History,https://www.southflorida.edu/college/history
Link,Mission Statement,https://www.southflorida.edu/college/mission-statement
Link,Accreditation,https://www.southflorida.edu/college/accreditation
Link,Compliance Report,https://www.southflorida.edu/college/accreditation/compliance-report
Link,Administration,https://www.southflorida.edu/college/administration
Link,Office of the President,https://www.southflorida.edu/college/administration/office-president
Link,Vice President for Academic Affairs and Student Services,https://www.southflorida.edu/college/administration/office-vp-educational-student-services
Link,Vice President for Administrative Services,https://www.southflorida.edu/college/administration/office-vp-administrative-services
Link,Organizational Chart,https://www.southflorida.edu/college/administration/organizational-chart
Link,Employment,https://www.southflorida.edu/college/employment
Link,Human Resources Employment Process FAQ,https://www.southflorida.edu/college/employment/human-resources-faq
Link,Position Vacancies,https://www.southflorida.edu/college/employment/position-vacancies
Link,Salary Schedule (PDF),https://www.southflorida.edu/college/employment/wp-contentuploads201907salsch2019-20-1-pdf
Link,Employee Benefits,https://www.southflorida.edu/college/employment/employee-benefits
Link,Paid Holidays,https://www.southflorida.edu/college/employment/paid-holidays
Link,Employee Handbook (PDF),https://www.southflorida.edu/college/employment/employee-handbookemployee-handbook
Link,BENCOR Special Pay Plan (PDF),https://www.southflorida.edu/college/employment/bencor-special-pay-plan
Link,Social Security Collection and Usage,https://www.southflorida.edu/college/employment/social-security-collection-usage
Link,Affordable Care Act Notice (PDF),https://www.southflorida.edu/college/employment/affordable-care-act-notice-pdf
Link,Social Security Disclosure Summary (PDF),https://www.southflorida.edu/college/employment/social-security-disclosure-summary-pdf
Link,Tobacco-Free College,https://www.southflorida.edu/college/employment/tobacco-free-college
Link,Become Tobacco-Free,https://www.southflorida.edu/college/employment/tobacco-free-college/become-tobacco-free
Link,Drug-Free Workplace & Campuses,https://www.southflorida.edu/college/employment/drug-free-workplace-campus
Link,Technology Usage Acknowledgement (PDF),https://www.southflorida.edu/college/employment/technology-usage-guidelines
Link,Employee Safety Manual (PDF),https://www.southflorida.edu/college/employment/employee-safety-manual
Link,SFSC’s Annual Security and Fire Safety Report (PDF),https://www.southflorida.edu/college/employment/sfscs-annual-security-and-fire-safety-report
Link,Calendars,https://www.southflorida.edu/college/calendar
Link,Academic Calendar 2024-2025,https://www.southflorida.edu/college/calendar/academic-calendar-2024-2025
Link,News,https://www.southflorida.edu/college/news
Link,Social Media,https://www.southflorida.edu/college/social
Link,Honoring Our Retirees,https://www.southflorida.edu/college/retirees
Link,2020s,https://www.southflorida.edu/college/retirees/2020s
Link,Past Presidents,https://www.southflorida.edu/college/retirees/past-president
Link,Emeriti,https://www.southflorida.edu/college/retirees/emeriti
Link,Retiree Events,https://www.southflorida.edu/college/retirees/retiree-events
Link,Celebrating Our Trustees,https://www.southflorida.edu/college/celebrating-our-trustees
Link,1960s,https://www.southflorida.edu/college/celebrating-our-trustees/1960s
Link,1970s,https://www.southflorida.edu/college/celebrating-our-trustees/1970s
Link,1980s,https://www.southflorida.edu/college/celebrating-our-trustees/1980s
Link,1990s,https://www.southflorida.edu/college/celebrating-our-trustees/1990s
Link,2000s,https://www.southflorida.edu/college/celebrating-our-trustees/2000s
Link,2010s,https://www.southflorida.edu/college/celebrating-our-trustees/2010s
Link,2020s,https://www.southflorida.edu/college/celebrating-our-trustees/2020s
Link,Future Students,https://www.southflorida.edu/future-students
Link,Start Here,https://www.southflorida.edu/future-students/start-here
Link,Make Smart College Choices,https://www.southflorida.edu/future-students/start-here/make-smart-college-choices
Link,SFSC Contact List,https://www.southflorida.edu/future-students/sfsc-contact-list
Link,Send Me Info,https://www.southflorida.edu/future-students/send-info
Link,Panther PATHways,https://www.southflorida.edu/future-students/pathways-home
Link,Degrees & Programs,https://www.southflorida.edu/future-students/degrees-programs
Link,Apply,https://www.southflorida.edu/future-students/apply
Link,Florida Resident Declaration Form FRD-1,https://www.southflorida.edu/future-students/apply/florida-resident-declaration
Link,Survival Guides,https://www.southflorida.edu/future-students/apply/survival-guides
Link,Residency Reclassification Appeal Process,https://www.southflorida.edu/future-students/apply/residency-reclassification-appeal-process
Link,Steps to Enrollment,https://www.southflorida.edu/future-students/apply/steps-enrollment
Link,Transfer Credit,https://www.southflorida.edu/future-students/apply/transfer-credit
Link,Tuition and Fees,https://www.southflorida.edu/future-students/apply/tuition-fees
Link,Admissions,https://www.southflorida.edu/future-students/registrar
Link,Admissions Office Forms,https://www.southflorida.edu/future-students/registrar/forms
Link,Enrollment Degree Verification,https://www.southflorida.edu/future-students/registrar/enrollment-degree-verification
Link,Transcripts,https://www.southflorida.edu/future-students/registrar/transcripts
Link,Contact Admissions/Registrar Office,https://www.southflorida.edu/future-students/registrar/contact-us
Link,Orientation,https://www.southflorida.edu/future-students/orientation
Link,Textbook Affordability,https://www.southflorida.edu/future-students/textbook-affordability
Link,Rapid Credentialing,https://www.southflorida.edu/future-students/rapid-credentialing
Link,Veterans,https://www.southflorida.edu/future-students/veterans
Link,Additional Links & Resources,https://www.southflorida.edu/future-students/veterans/additional-links-resources
Link,Application Process,https://www.southflorida.edu/future-students/veterans/application-process
Link,Contact Information,https://www.southflorida.edu/future-students/veterans/contact-information
Link,Financial Aid,https://www.southflorida.edu/future-students/veterans/financial-aid
Link,Monthly Attendance Verification,https://www.southflorida.edu/future-students/veterans/monthly-attendance-verification
Link,Veterans Aid FAQs,https://www.southflorida.edu/future-students/veterans/veterans-faqs
Link,Dual Enrollment,https://www.southflorida.edu/future-students/dual-enrollment
Link,Dual Enrollment Parent and Student Handbook,https://www.southflorida.edu/future-students/dual-enrollment/dual-enrollment-parent-and-student-handbook-2
Link,Early College Program,https://www.southflorida.edu/future-students/dual-enrollment/early-college-program
Link,Degree Maps,https://www.southflorida.edu/future-students/dual-enrollment/early-college-program/degree-maps
Link,Business Degree Map,https://www.southflorida.edu/future-students/dual-enrollment/early-college-program/degree-maps/business-degree-map
Link,Elementary Education Map,https://www.southflorida.edu/future-students/dual-enrollment/early-college-program/degree-maps/elementary-education-map
Link,Engineering Map,https://www.southflorida.edu/future-students/dual-enrollment/early-college-program/degree-maps/engineering-map
Link,Health Sciences Map,https://www.southflorida.edu/future-students/dual-enrollment/early-college-program/degree-maps/health-sciences-map
Link,Liberal Arts Map,https://www.southflorida.edu/future-students/dual-enrollment/early-college-program/degree-maps/liberal-arts-map
Link,Highlands Career Institute at SFSC,https://www.southflorida.edu/future-students/dual-enrollment/highlands-career-institute-sfsc
Link,Programs,https://www.southflorida.edu/future-students/dual-enrollment/highlands-career-institute-sfsc/programs
Link,Learning Environment,https://www.southflorida.edu/future-students/dual-enrollment/highlands-career-institute-sfsc/learning-environment
Link,Support Services,https://www.southflorida.edu/future-students/dual-enrollment/highlands-career-institute-sfsc/support-services-students
Link,Helpful Links,https://www.southflorida.edu/future-students/dual-enrollment/highlands-career-institute-sfsc/links-2
Link,HSCB Highlands Career Institute Website,https://www.southflorida.edu/future-students/dual-enrollment/highlands-career-institute-sfsc/hscb-highlands-career-institute-website
Link,Course Equivalency List,https://www.southflorida.edu/future-students/dual-enrollment/course-equivalency-list
Link,Dual Enrollment Resources,https://www.southflorida.edu/future-students/dual-enrollment/resources
Link,Florida Statute 1007.271 Dual Enrollment,https://www.southflorida.edu/future-students/dual-enrollment/resources/florida-statute-1007-271-dual-enrollment
Link,Florida Statute 1007.273 Early College Program,https://www.southflorida.edu/future-students/dual-enrollment/resources/florida-statute-1007-273-collegiate-high-school
Link,Honors Program,https://www.southflorida.edu/future-students/honors-program
Link,General Educational Development Program (GED),https://www.southflorida.edu/future-students/general-educational-development-program-ged
Link,Adult Education Survey,https://www.southflorida.edu/future-students/general-educational-development-program-ged/ged-survey
Link,English for Speakers of Other Languages (ESOL),https://www.southflorida.edu/future-students/english-speakers-other-languages-esol
Link,ESOL Admission Requirements (English),https://www.southflorida.edu/future-students/english-speakers-other-languages-esol/esol-admission-requirements-english
Link,Requisitos para ESOL (Spanish),https://www.southflorida.edu/future-students/english-speakers-other-languages-esol/requisitos-para-esol-spanish
Link,Adult Education Survey,https://www.southflorida.edu/future-students/english-speakers-other-languages-esol/adult-education-survey
Link,Athletics,https://www.southflorida.edu/future-students/athletics
Link,Financial Aid and Scholarships,https://www.southflorida.edu/future-students/financial-aid-scholarships
Link,Advising & Counseling Center,https://www.southflorida.edu/future-students/advising-counseling-center
Link,Testing Center,https://www.southflorida.edu/future-students/testing-center
Link,Student Housing,https://www.southflorida.edu/future-students/student-housing
Link,2025-26 Housing,https://www.southflorida.edu/future-students/student-housing/current-housing
