Type,Text,URL or Image Src
Headline,"SFSC is advancing the community and the lives of its residents through education each and every day. How? With an expanded, four-campus reach, 400+ caring and engaged faculty and staff members, and a thriving student body.",
Page Link,About SFSC,http://www.southflorida.edu/college/welcome/about-sfsc
Page Link,See the Campuses,/college/campuses
Page Link,President’s Message,/college/administration/office-president
Page Link,History,/college/history
Page Link,News,/college/news
Page Link,Calendar,/college/calendar
Page Link,Employment,/college/employment
Page Link,Social Media,http://www.southflorida.edu/college/social
Image,SFSC Logo,https://www.southflorida.edu/wp-content/themes/sfsc_2014/images/logo.png
Image,Return to the South Florida State College Homepage,/wp-content/uploads/sites/3/2014/06/breadcrumb-ico.png
Image,Alan Jay Wildstein Center for the Performing Arts,http://www.southflorida.edu/wp-content/uploads/2016/09/AJW-Center-for-Performing-Arts.png
Image,Highlands Campus Map Link,http://www.southflorida.edu/wp-content/uploads/2014/06/welcome06.jpg
Image,President Hawkins -cropped,https://www.southflorida.edu/wp-content/uploads/2023/08/Hawkins-420x250-1.png
Image,History Link,http://www.southflorida.edu/wp-content/uploads/2014/06/History-WEB.jpg
Image,News Link,http://www.southflorida.edu/wp-content/uploads/2014/06/News-420-x-250.jpg
Image,Calendar Link,http://www.southflorida.edu/wp-content/uploads/2014/06/Anatomy-Students-420-x-250.jpg
Image,Employment Link,http://www.southflorida.edu/wp-content/uploads/2014/06/Nursing-420-x-250.jpg
Image,Social Media,http://www.southflorida.edu/wp-content/uploads/2014/06/Social-Media-WEB.jpg
Image,South Florida State College Logo,/wp-content/uploads/2014/08/sfsc-full-color.png
Image,Aspen Prize for Community College Excellence Semifinalist 2023,/wp-content/uploads/2022/04/AspenPrize_Semifinalist.png
Image,Military Friendly School,/wp-content/uploads/2020/03/MSFS24-25_Silver_300x300.png
Image,Tobacco Free,/wp-content/uploads/2015/01/ft-logo2.png
